Capture Time,PUN,X,Y
2022/10/25 20:52:31:816,1122215BGN116215,550.7,507.0
2022/10/25 20:51:44:999,1122215BGP110542,556.1,539.4
2022/10/25 20:53:57:650,1122216BGP110544,562.2,482.3
2022/10/25 20:52:45:921,1122216BGP110562,590.9,484.1
2022/10/25 20:52:07:207,1122216BGP110722,563.9,453.5
2022/10/25 20:52:04:109,1122216BGP110752,563.8,468.4
2022/10/25 20:51:48:602,1122216BGP111850,599.1,516.8
2022/10/25 20:52:29:515,1122216BGP111914,553.7,567.2
2022/10/25 20:53:09:930,1122216BGP111952,576.2,509.0
2022/10/25 20:57:09:121,1122219BGR112944,573.9,497.0
2022/10/25 20:52:49:023,1122219BGR112974,549.6,478.6
2022/10/25 20:53:11:930,1122229BH7111868,587.5,557.3
2022/10/25 20:54:00:648,1122231BH8113251,567.6,537.3
2022/10/26 01:05:22:451,1122234BHA110397,622.4,513.3
2022/10/26 01:05:35:755,1122234BHA110407,614.5,497.3
2022/10/25 22:47:18:185,1122234BHA113481,587.3,526.6
2022/10/25 15:06:58:891,1122234BHA113482,605.0,533.1
2022/10/26 00:59:40:829,1122235BHA110002,527.3,654.1
2022/10/26 01:10:26:062,1122235BHA110003,610.3,491.5
2022/10/26 00:59:45:030,1122235BHA110004,553.1,531.9
2022/10/26 01:00:19:241,1122235BHA110005,586.4,529.5
2022/10/26 01:00:15:544,1122235BHA110006,545.8,585.1
2022/10/26 01:08:20:015,1122235BHA110008,608.6,545.3
2022/10/26 01:01:28:268,1122235BHA110009,576.5,511.2
2022/10/26 01:00:12:441,1122235BHA110010,550.4,538.2
2022/10/26 00:59:38:829,1122235BHA110011,544.1,749.8
2022/10/26 01:01:39:071,1122235BHA110014,598.9,565.2
2022/10/26 01:00:21:844,1122235BHA110015,543.3,523.0
2022/10/26 00:58:20:700,1122235BHA110016,532.3,525.6
2022/10/26 01:09:59:552,1122235BHA110017,578.3,555.6
2022/10/26 01:09:42:046,1122235BHA110018,559.8,485.3
2022/10/26 01:07:38:298,1122235BHA110019,553.6,643.7
2022/10/26 00:58:17:901,1122235BHA110020,579.5,545.9
2022/10/26 01:10:18:663,1122235BHA110021,579.5,486.4
2022/10/26 01:09:35:241,1122235BHA110022,555.1,535.9
2022/10/26 01:10:02:651,1122235BHA110023,551.8,542.0
2022/10/26 01:01:45:573,1122235BHA110024,546.6,531.4
2022/10/26 01:01:42:373,1122235BHA110025,548.9,624.8
2022/10/26 01:09:10:131,1122235BHA110026,574.1,546.4
2022/10/26 01:09:39:745,1122235BHA110027,534.5,510.3
2022/10/26 01:10:22:457,1122235BHA110028,570.3,498.3
2022/10/26 01:10:05:858,1122235BHA110029,579.2,527.3
2022/10/26 01:01:21:763,1122235BHA110030,586.6,709.7
2022/10/26 01:09:12:333,1122235BHA110032,581.8,512.3
