PUN,Status,Orientation,VC2 Blob 1,VC2 Blob 2,VC3 Blob 1,VC3 Blob 2
1122294BJ9110402,Pass,Invalid,"se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
"
1122293BJ9110564,Pass,Invalid,"se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
"
1222296BJB121194,Pass,Invalid,"se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
"
1122293BJ9110104,Pass,Invalid,"se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
"
1222296BJB122704,Pass,Invalid,"se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
"
1122293BJ9110035,Pass,Invalid,"se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
"
1222296BJB122981,Pass,Invalid,"se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
"
1122296BJB110981,Pass,Invalid,"se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
"
1222289BJ4122004,Pass,Invalid,"se;  Result: NoResult
","0
","se;  Result: NoResult
","se;  Result: NoResult
"
1122294BJA111629,Pass,Invalid,"se;  Result: NoResult
","0
","se;  Result: NoResult
","se;  Result: NoResult
"
1122296BJB120960,Pass,Invalid,"se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
"
1122294BJA110540,Pass,Invalid,"se;  Result: NoResult
","0
","se;  Result: NoResult
","se;  Result: NoResult
"
1522291BJ6151593,Pass,Invalid,"e;  Result: Pass
","0
","se;  Result: NoResult
","se;  Result: NoResult
"
1122295BJB111025,Pass,Invalid,"se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
"
1122296BJB111421,Pass,Invalid,"se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
"
1122294BJA111137,Pass,Invalid,"se;  Result: NoResult
","0
","se;  Result: NoResult
","se;  Result: NoResult
"
1522290BJ6150844,Pass,Invalid,"se;  Result: NoResult
","0
","se;  Result: NoResult
","se;  Result: NoResult
"
1122293BJ9110436,Pass,Invalid,"se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
"
1122293BJ9110600,Pass,Invalid,"se;  Result: NoResult
","0
","se;  Result: NoResult
","se;  Result: NoResult
"
1122293BJ9110902,Pass,Invalid,"se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
"
1A22292BJ71A1645,Pass,Invalid,"se;  Result: NoResult
","0
","se;  Result: NoResult
","se;  Result: NoResult
"
1122293BJ9111032,Pass,Invalid,"se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
"
1A22291BJ71A0168,Pass,Invalid,"e;  Result: Pass
","6
","se;  Result: NoResult
","se;  Result: NoResult
"
1122293BJ9110163,Pass,Invalid,"se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
"
1122296BJB110511,Pass,Invalid,"se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
"
1122293BJ9110098,Pass,Invalid,"se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
"
1122294BJA111699,Pass,Invalid,"se;  Result: NoResult
","0
","se;  Result: NoResult
","se;  Result: NoResult
"
1122293BJ9110954,Pass,Invalid,"se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
"
1222292BJ7120956,Pass,Invalid,"e;  Result: Pass
","0
","se;  Result: NoResult
","se;  Result: NoResult
"
1222296BJB122880,Pass,Invalid,"se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
"
1122294BJA110025,Pass,Invalid,"e;  Result: Pass
","0
","se;  Result: NoResult
","se;  Result: NoResult
"
1222291BJ7120160,Pass,Invalid,"se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
"
1122294BJA110359,Pass,Invalid,"se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
","se;  Result: NoResult
"
1222289BJ4120009,Pass,Invalid,"se;  Result: NoResult
","0
","se;  Result: NoResult
","se;  Result: NoResult
"
