PUN,Status,Recipe/Task,Total Execution Time (s)
1122306M01100560,Pass,12,0.489672192538222
1122306M01100350,Pass,14,0.27897909619716277
1122305M01302570,Pass,14,0.26959759636008385
1122306M01300180,Pass,21,0.189804997745779
1122306M01300500,Pass,22,0.2057569974687532
1122305M01402740,Pass,14,0.2567808965826614
1122305M01402460,Pass,11,0.25232519666004005
1122306M01400860,Pass,14,0.2637056964624038
1122306M01400120,Pass,34,0.21374329802470987
1122305M01403020,Pass,21,0.20182049753711528
1122305M01202520,Pass,12,0.5005229923497847
1122306M01400300,Pass,31,0.15209449909531592
1122306M01300330,Pass,11,0.25993999652779975
1122306M01100840,Pass,33,0.23616599763531254
1122306M01200440,Pass,24,0.26452109644824345
1122305M01402860,Pass,11,0.24653439676060426
1122305M01302690,Pass,24,0.20634279745858006
1122305M01102470,Pass,11,0.2442511968002548
1122306M01400750,Pass,32,0.20487079817879156
1122306M01300740,Fail,12,0.31708439553541806
1122306M01300370,Pass,22,0.4311128935551751
1122305M01102870,Pass,24,0.19860119759302233
1122306M01400230,Pass,13,0.4150737938337135
1122306M01200850,Pass,14,0.26375659646151994
1122305M01202560,Pass,21,0.18872029776461613
1122305M01102790,Pass,11,0.2546566966195507
1122306M01300660,Pass,23,0.20898629741267247
1122306M01300740,Pass,31,0.15280989908289214
1122306M01300220,Pass,23,0.3476002950054725
1122306M01400380,Pass,22,0.3323419952704514
1122305M01102510,Pass,13,0.25471599661852085
1122305M01202640,Pass,23,0.2239917971520838
1122306M01200250,Pass,12,0.4162610938130946
1122305M01102390,Pass,32,0.20632519815353415
1122306M01400750,Pass,21,0.19099409772512882
1122305M01102590,Pass,11,0.25073199668770785
1122306M01100160,Pass,21,0.18413289784428188
1122306M01100040,Pass,31,0.1538375990650449
1122306M01300580,Pass,12,0.389969094269687
1122306M01300540,Pass,34,0.23260449769716227
1122306M01400190,Pass,33,0.25591839729228816
1122306M01100200,Pass,24,0.4701344928775178
1122305M01403100,Pass,33,0.2247600978333898
1122305M01303090,Pass,32,0.24500159748187164
1122306M01100040,Pass,12,0.2865216960661764
1122305M01302490,Pass,21,0.19799679760351846
1122305M01302850,Pass,22,0.21455369731598783
1122306M01300740,Fail,34,0.13729529935232196
1122305M01302890,Pass,14,0.2549315966147767
1122305M01302410,Pass,34,0.19562429833936823
1122306M01100470,Pass,24,0.31048449565003333
1122305M01203080,Fail,34,0.13158169945154555
1122306M01300050,Pass,33,0.24925789740795584
1122306M01400340,Pass,24,0.27236989631193953
1122306M01200360,Pass,14,0.4815208926797791
1122306M01300620,Pass,31,0.1557025990326569
1122306M01400300,Pass,12,0.44191379336760445
1222306M01201000,Pass,14,0.32657779537055365
1122306M01200570,Pass,13,0.2423905968325664
1122305M01302690,Pass,21,0.19541089764842576
1122305M01303130,Pass,33,0.22959149774948667
1122305M01302530,Pass,11,0.2420726968380871
1122306M01200610,Pass,34,0.2621790971835636
1122305M01203040,Pass,32,0.24221639753024
1122306M01400590,Pass,32,0.2499479973959714
1122306M01200400,Pass,12,0.4414562933755495
1122306M01300740,Pass,32,0.19899539828082502
1122306M01100430,Pass,21,0.18901549775948961
1122306M01300780,Pass,22,0.33985349514000507
1122306M01300890,Pass,22,0.2014064975443049
1122305M01303130,Pass,22,0.2035060975078428
1122306M01100160,Pass,34,0.3321618959682275
1122305M01102390,Pass,31,0.15591349902899437
1122305M01302770,Pass,22,0.23424649697399852
1122306M01200530,Pass,24,0.37322779456041993
1122306M01300700,Pass,34,0.20576919816318978
