PUN,Status,Image,Total Execution Time (s)
1122299M01201480,Pass,33,0.24034659756271134
1122299M01200480,Pass,12,0.681807589201558
1122299M01101710,Pass,23,0.39323309421300373
1122299M01301650,Pass,14,0.6932430890029666
1122298M01302520,Pass,32,0.2972734965741068
1122298M01102620,Pass,13,0.6094932904573833
1122299M01101310,Pass,13,0.6127287904011951
1122299M01100100,Pass,23,0.32717259536022425
1122298M01402570,Pass,22,0.5192817920240154
1122299M01201480,Pass,31,0.15294279908058417
1122299M01400660,Pass,31,0.1576058989996038
1122298M01402690,Pass,13,0.4994910923677049
1222299M01101150,Pass,12,0.7249123884529909
1122299M01101270,Pass,11,0.2584498965536772
1122299M01400300,Pass,31,0.15653509901819954
1122299M01401540,Pass,21,0.2005113975598494
1122299M01400620,Pass,14,0.7493736880281909
1122299M01201280,Pass,34,0.26004409722064037
1122299M01200150,Pass,33,0.38657809502322427
1122298M01402450,Pass,23,0.32007239548352784
1122299M01400660,Pass,21,0.2533564966421302
1122299M01100220,Pass,22,0.5357921917372923
1122299M01200800,Pass,22,0.40343849403577453
1122299M01100670,Pass,22,0.4965572924186538
1222299M01301050,Pass,33,0.3928105949149894
1122299M01100350,Pass,23,0.46696679293252874
1122299M01301330,Pass,34,0.2711578970276358
1122299M01300120,Pass,21,0.22556489712476502
1122299M01201280,Pass,13,0.6448939898426074
1122299M01201520,Pass,33,0.2709666970309562
1122298M01302560,Pass,22,0.48555119260978813
1222299M01201160,Pass,22,0.4530875931735578
1122299M01300120,Pass,22,0.4103894939150621
1122299M01200400,Pass,34,0.2985366965521698
1122299M01300040,Pass,23,0.5260407919066372
1122299M01200230,Pass,34,0.4575880937900496
1122299M01301410,Pass,14,0.4779670927414952
1222299M01201200,Pass,32,0.31563299625527186
1222299M01301170,Pass,31,0.15795799899348917
1122299M01101710,Pass,21,0.2024640975259384
1122299M01300530,Pass,13,0.6815022892068598
1122299M01200190,Pass,12,0.71983188854122
1122299M01100100,Pass,32,0.36829729534069255
